x0,y0,x1,y1,b,gap,entropy_bits,row_support,col_support,matching_pennies,value_of_mixing
0,0,1,1,0,0.0121,0.2682,2,2,1,0.0776
0,0,2,0,0,0.0047,1.1092,3,3,0,0.0848
0,1,1,0,1,0.0331,0.9049,2,2,1,0.0651
0,1,1,1,0,0.0136,0.9467,2,2,1,0.0942
0,1,1,1,1,0.0363,0.3631,2,2,1,0.0698
0,1,2,1,1,0.0483,0.6934,2,2,1,0.0900
0,2,1,2,0,0.0095,0.1748,2,1,0,0.0951
0,2,1,2,1,0.0651,0.5523,1,2,0,0.0382
0,2,2,2,0,0.0178,0.9096,2,1,0,0.1034
0,2,2,2,1,0.0699,1.2655,2,3,0,0.0829
0,3,1,3,0,0.0136,0.9467,2,2,1,0.0942
0,3,1,3,1,0.0363,0.3631,2,2,1,0.0698
0,3,1,4,1,0.0331,0.9049,2,2,1,0.0651
0,3,2,3,1,0.0483,0.6934,2,2,1,0.0900
0,4,1,3,0,0.0121,0.2682,2,2,1,0.0776
0,4,2,4,0,0.0047,1.1092,3,3,0,0.0848
1,0,2,1,0,0.0294,0.2813,2,2,1,0.0983
1,1,1,0,1,0.0445,0.3926,2,2,1,0.0601
1,1,2,0,1,0.0043,0.8285,2,2,1,0.0476
1,1,2,1,0,0.0202,0.9394,2,2,1,0.1174
1,1,2,1,1,0.0528,0.7113,2,2,1,0.0676
1,1,3,1,0,0.0229,0.4019,2,2,1,0.1394
1,1,3,1,1,0.0419,0.6741,2,2,1,0.1031
1,2,2,2,0,0.0168,0.2397,2,1,0,0.1225
1,2,2,2,1,0.0371,0.3843,1,2,0,0.0565
1,2,3,2,0,0.0348,1.1161,3,2,0,0.1476
1,2,3,2,1,0.0509,1.0033,2,3,0,0.1001
1,3,1,4,1,0.0445,0.3926,2,2,1,0.0601
1,3,2,3,0,0.0202,0.9394,2,2,1,0.1174
1,3,2,3,1,0.0528,0.7113,2,2,1,0.0676
1,3,2,4,1,0.0043,0.8285,2,2,1,0.0476
1,3,3,3,0,0.0229,0.4019,2,2,1,0.1394
1,3,3,3,1,0.0419,0.6741,2,2,1,0.1031
1,4,2,3,0,0.0294,0.2813,2,2,1,0.0983
2,0,3,1,0,0.0159,0.1619,2,2,1,0.1247
2,1,3,0,1,0.0038,0.3955,2,2,1,0.0435
2,1,3,1,0,0.0260,0.5326,2,2,1,0.1512
2,1,3,1,1,0.0300,0.5513,2,2,1,0.0669
2,1,4,1,0,0.0356,0.5809,2,2,1,0.1807
2,1,4,1,1,0.0356,0.5809,2,2,1,0.1146
2,2,3,2,0,0.0250,0.3070,2,1,0,0.1610
2,2,3,2,1,0.0321,0.3555,1,2,0,0.0547
2,2,4,2,0,0.0425,1.0682,3,2,0,0.1853
2,2,4,2,1,0.0425,1.0682,2,3,0,0.1099
2,3,3,3,0,0.0260,0.5326,2,2,1,0.1512
2,3,3,3,1,0.0300,0.5513,2,2,1,0.0669
2,3,3,4,1,0.0038,0.3955,2,2,1,0.0435
2,3,4,3,0,0.0356,0.5809,2,2,1,0.1807
2,3,4,3,1,0.0356,0.5809,2,2,1,0.1146
2,4,3,3,0,0.0159,0.1619,2,2,1,0.1247
3,0,4,1,0,0.0038,0.3955,2,2,1,0.1502
3,1,4,0,1,0.0159,0.1619,2,2,1,0.0497
3,1,4,1,0,0.0300,0.5513,2,2,1,0.1988
3,1,4,1,1,0.0260,0.5326,2,2,1,0.0564
3,1,5,1,0,0.0419,0.6741,2,2,1,0.2250
3,1,5,1,1,0.0229,0.4019,2,2,1,0.1263
3,2,4,2,0,0.0321,0.3555,2,1,0,0.2110
3,2,4,2,1,0.0250,0.3070,1,2,0,0.0542
3,2,5,2,0,0.0509,1.0033,3,2,0,0.2279
3,2,5,2,1,0.0348,1.1161,2,3,0,0.1181
3,3,4,3,0,0.0300,0.5513,2,2,1,0.1988
3,3,4,3,1,0.0260,0.5326,2,2,1,0.0564
3,3,4,4,1,0.0159,0.1619,2,2,1,0.0497
3,3,5,3,0,0.0419,0.6741,2,2,1,0.2250
3,3,5,3,1,0.0229,0.4019,2,2,1,0.1263
3,4,4,3,0,0.0038,0.3955,2,2,1,0.1502
4,0,5,1,0,0.0043,0.8285,2,2,1,0.1676
4,0,6,0,1,0.0047,1.1092,3,3,0,0.0721
4,1,5,0,1,0.0294,0.2813,2,2,1,0.0586
4,1,5,1,0,0.0528,0.7113,2,2,1,0.2605
4,1,5,1,1,0.0202,0.9394,2,2,1,0.0569
4,1,6,1,0,0.0483,0.6934,2,2,1,0.2745
4,2,5,2,0,0.0371,0.3843,2,1,0,0.2715
4,2,5,2,1,0.0168,0.2397,1,2,0,0.0519
4,2,6,2,0,0.0699,1.2655,3,2,0,0.2816
4,2,6,2,1,0.0178,0.9096,1,2,0,0.1358
4,3,5,3,0,0.0528,0.7113,2,2,1,0.2605
4,3,5,3,1,0.0202,0.9394,2,2,1,0.0569
4,3,5,4,1,0.0294,0.2813,2,2,1,0.0586
4,3,6,3,0,0.0483,0.6934,2,2,1,0.2745
4,4,5,3,0,0.0043,0.8285,2,2,1,0.1676
4,4,6,4,1,0.0047,1.1092,3,3,0,0.0721
5,0,5,1,0,0.0445,0.3926,2,2,1,0.2056
5,0,6,1,0,0.0331,0.9049,2,2,1,0.1741
5,1,6,0,1,0.0121,0.2682,2,2,1,0.0636
5,1,6,1,0,0.0363,0.3631,2,2,1,0.3352
5,1,6,1,1,0.0136,0.9467,2,2,1,0.1210
5,2,6,2,0,0.0651,0.5523,2,1,0,0.3668
5,2,6,2,1,0.0095,0.1748,1,2,0,0.1201
5,3,6,3,0,0.0363,0.3631,2,2,1,0.3352
5,3,6,3,1,0.0136,0.9467,2,2,1,0.1210
5,3,6,4,1,0.0121,0.2682,2,2,1,0.0636
5,4,5,3,0,0.0445,0.3926,2,2,1,0.2056
5,4,6,3,0,0.0331,0.9049,2,2,1,0.1741
